manufacturerid,manufacturername,address1,address2,city,state,postalcode,phone,fax,contact,url
116,Radii Footwear,5521 Schaefer Avenue,,Chino,CA,91710,714-276-1180,909-465-5969,Thomas Hayes,http://www.radiifootwear.com/
136,Baby Phat,80 Enterprise Avenue South,,Secaucus,NJ,7094,866-444-3323,201-617-8686,Robert Ewing,http://www.babyphat.com/
154,Lakai,22500 S. Vermont Ave,,Torrance,CA,90502,310-783-1900,,Carol Reynolds,http://lakai.com/
164,Creative Recreation,"910 S Los Angeles Street # 704",,Los Angeles,CA,90015,877-740-7732,310-278-7329,Sean Glenn,http://www.cr8rec.com/
176,Ralph Lauren,625 Madison Avenue,,New York,NY,10022,212-813-7868,,Howard Drake,http://www.ralphlauren.com/
179,Bearpaw,7524 Old Auburn Road,,Citrus Heights,CA,95610,866-462-8849,,Larry Duplantis,http://www.bearpaw.com/contact-corporate
187,Keds,4200 South A Street,,Richmond,IN,47374,800-680-0966,800-446-1339,Brittany Poon,http://www.keds.com/store/SiteController/keds/contactus_keds
194,Famous Stars & Straps,4050 Greystone Drive,,Ontario,CA,91761,909-390-5670,,Janis Gilles,http://www.famoussas.com/news/
209,Y.R.U.,13963 Ramona Ave Ste E,,Chino,CA,91710,909-590-0700,,John Williams,http://y-r-u.com/contact/
240,Timberland,200 Domain Drive,,Stratham,NH,3885,603-772-9500,,Doris Font,http://www.timberland.com/category/index.jsp?categoryId=4039631
276,Osiris,5601 Palmer Way,,Carlsbad,CA,92010,888-674-7478,,Katherine Lewis,http://www.osirisshoes.com/forms/contact/
289,MO7,"60 Metro Way Suite #2",,Secaucus,NJ,7094,201-863-5160,201-863-4755,Vivian Nicolas,http://www.mo7online.com/contact.html
293,DVS Shoe Co.,955 Francisco St.,,Torrance,CA,90502,855-387-7900,,Rebecca Brooks,
294,XOXO,600 Kellwood Pkwy.,,Chesterfield,MO,63017,314-576-3100,314-576-3180,Leona Sample,
307,Florsheim Limited, 333 W Estabrook Blvd,,Glandale,WI,53212,866-454-0449,,Kenya Skaggs,http://www.florsheim.com/shop/contactUs.html
314,Steve Madden,"7365 Main Street, Box 204",,Stratford,CT,6614,888-762-3336,,Dennis Hatfield,http://www.stevemadden.com/CustomerSupport.aspx?pageID=1697
340,Nine West,1129 Westchester Avenue,,White Plains,NY,10604,800-999-1877,914-640-1612,Duane Hammons,"http://www.ninewest.com/Help/HELP,default,pg.html"
373,Keds,4200 South A Street,,Richmond,IN,47374,800-680-0966,800-446-1339,Wallace Henson,http://www.keds.com/store/SiteController/keds/contactus_keds
384,DC Shoes,1333 Keystone Way,,Vista,CA,92081,888-532-3130,,Eva Titus,http://www.dcshoes.com/helpdesk/index.jsp?display=corp&subdisplay=about
389,Basic Essentials,75340 South 85rd Place,,Phoenix,AZ,85048,800-780-2266,,Antonio Coward,
438,New Balance,"20 Guest St #1000",,Brighton,MA,2135,800-253-7463,,Arnold Waldon,http://www.newbalance.com/on/demandware.store/Sites-newbalance_us-Site/default/CustomerService-Show
444,Diba True,5626 Wheystone Ct,,Vienna,VA,22182,866-226-5984,,Gerardo Wade,
448,Reebok,1895 JW Foster Blvd.,,Canton,MA,2021,866-870-1743,,Susan Santiago,http://shop.reebok.com/us/content/contactUs
450,Psyberia,18 Hobbs Brook Road,,Weston,MA,2493,800-123-5665,,Kerry Mixon,
463,Unstitched Utilities,4128 Riverview Lane,,Lorian,OH,44052,732-390-5800,732-390-7411,Jacqueline Weigel,http://www.unstitchedutilities.com/contact-and-policies
481,Gourmet,8642 W. Sunset Blvd,,West Hollywood,CA,90069,310 601 8196,,Jacqueline Hall,http://gourmetfootwear.com/pages/contact
482,Generic Surplus,Cooper Bldg Lobby L,846 S. Los Angeles St,Los Angeles,CA,90014,213.489.1092,888.413.1873,Michael Payton,http://www.genericsurplus.com/about/sales/
512,Akademiks,17 South Middlesex Avenue,,Monroe Township,NJ,8831,866-425-3657,,Sharon Hutchison,http://www.akademiks.com/content/customerservice/contact_us.html
514,Adidas,9605 Southwest Nimbus,,Beaverton,OR,97008,800-982-9337,,Salvatore Nadeau,http://www.adidas.com/us/content/contactus
521,Apple Bottoms,9648 Olive Boulevard 116,3707 5th Avenue Suite 820,St. Louis,MO,63132,201-601-4283,,Bret Nightingale,http://lifestyle.applebottoms.com/contact.asp
550,Crooks & Castles,509 N Fairfax Ave Ste 208,,Los Angeles,CA,90036,213-622-2891,,William Moyer,"http://shop.crooksncastles.com/pages/help-portal#/questions/35476-How-can-I-contact-you"
565,Dereon,80 Enterprise Avenue South,,Secaucus,NJ,7094,888-810-3884,,Willie Holt,
566,Not Rated,16516 Via Esprillo Suite 100,,San Diego,CA,92127,858-824-2999,858-824-2985,Launa Roundy,http://www.notratedfootwear.com/?page_id=1843
568,Fila,"930 Ridgebrook Road # 200",,Sparks,MD,21152,800.845.3452,,Jimmy Johnson,http://www.fila.com/on/demandware.store/Sites-FILA-Site/en_US/CustomerService-Show
573,Cadillac Footwear,1400 Broadway Suite 1405,,New York,NY,10019,212.386.7245,212.386.7660,Betty Ward,http://cadillacfootwear.com/contact.html
596,Grenade,5200 SW Macadam Ave,,Portland,OR,97239,503.235.5606,,Agnes Whittaker,http://grenadegloves.com/Manifesto/tabid/203/Default.aspx
605,Lugz,155 Avenue Of The Americas Floor 9,,New York,NY,10013,866-484-1740,,Jack Sosebee,http://www.lugz.com/contact/
630,Nike,One Bowerman Drive,,Beaverton,OR,97005,800-806-6453,,Raymond King,http://help-en-us.nike.com/app/landing/contact
645,Emerica,26921 Fuerte Drive,,Lake Forest,CA,92630,877-838-6437,,Mario Horn,http://emerica.com/contact/
659,HUF,2310 E. Washington Blvd.,,Los Angeles,CA,90021,323-584-6948,,Darrell Smith,http://store.hufworldwide.com/pages/contact-us
664,Mecca,"1385 Broadway #1808",,New York,NY,10018,212-730-6397,,Jeffrey Burns,http://meccausa.com/contact/
679,Converse,One High Street,,North Andover,MA,1845,888-792-3307,,Gary Archuleta,http://www.converse.com/Help/ContactUs.aspx
684,Supra,17777 Newhope Street,,Fountain Valley,CA,92708,888-293-1239,888-293-1240,Darwin Rochester,http://www.suprafootwear.com/service
691,Fashion Lab,P.O. Box 1374,,Downey,CA,90240,(562) 396-5672,,Jason Davis,http://fashionlabla.net/contact.htm
692,LRG,9600 Toledo Way,,Irvine,CA,92618,888.574.1947,,Michael Munoz,http://shop.l-r-g.com/contacts/
695,Rocawear,80 Enterprise Avenue South,,Secaucus,NJ,7094,888-520-6951,201-255-2162,Grace Kendrick,http://rocawear.com/contact/
717,Sebago,9341 Courtland Drive,,Rockford,MI,49351,866-699-7367,,William Deleon,http://www.sebago.com/US/en-US/ContactUs/Form.mvc.aspx
750,Rothco,3015 Veterans Memorial Highway,,Ronkonkoma,NY,11779,800-645-5195,,Helen Whited,http://www.rothco.com/general/index.cfm/fuseaction=home&uid=13
781,Royal Elastics,"1820 Industrial St #102b",,Los Angeles,CA,90021,213-261-8924,,Paul Perez,http://www.royalelastics.com/
782,Greedy Geniu$,116 S Cannady Circle,,Cedar Hill,TX,75104,(469) 454-6954,,Deborah Jones,http://www.greedygenius.com/contact-greedy-genius.html
788,Shmack,520 Viking Dr,,Virginia Beach,VA,23452,(757) 428-1366,,Victoria Padilla,
855,Mountain Gear,6021 E Mansfield,,Spokane Valley,WA,99212,800.829.2009,,Raul Carpenter,"http://www.mountaingear.com/webstore/infopage.action#contact"
885,AH by Android Homme,922 Olive Street,,Los Angeles,CA,90015,(888) 513-3777,,Manuel Alleman,http://androidhomme.com/contact/
886,The Skate Shop,5929 Steilacoom Boulevard SW,,Lakewood,WA,98499,(253) 583-8567,,Constance Henthorn,
911,Two Lip Shoes,9237 San Fernando Rd.,,Sun Valley,CA,91352,818.768.7028,,William Hanson,http://www.twolipsshoes.com/pages/contact-us
925,Ed Hardy,2829 S. Santa Fe Ave.,,Vernon,CA,90058,213.748.1038,,Ella Potter,
823,Levi,1155 Battery St,,San Francisco,CA,94111,866-860-8907,,Donna Merwin,http://us.levi.com/helpdesk/index.jsp;jsessionid=67jRRT7KSLLb7hVL9nsj6nSLR1jcXrpXM1KKXfC7cQvLCVQGk23J!1791627878?display=store&subdisplay=contact&isStoremanDriven=yes&clickid=botnav_contactus_img
927,Pastry,1570 kenmore ave,,Buffalo,NY,14216,(866)319-3134,,Holly Hope,http://lovepastry.com/customer-support/
951,Cute To The Core,"2 Keward Mill Trading Estate,",Jocelyn Drive,Alma,NY,14708,866-488-7403,,Daniel Bury,
959,Puma,10 Lyberty Way,,Westford,MA,1886,888-565-7862,,Donald Hoffman,http://about.puma.com/category/company/conloc/contact-us/
966,Pelle Pelle,2903 Technology Dr,,Rochester Hills,MI,48309,248-829-3500,248-829-3501,Dustin Gama,http://www.pellepelle.com/blog/contact/
968,Yums,410 Lillard Road,,Arlington,TX,76012,(817) 354-9867 +208,,Manuela Goodman,http://www.yumslife.com/
970,COOGI,11 West 27th Street,,New York,NY,10001,212.273.3350,,Ellen Gordon,http://www.shopcoogi.com/store/templates/custservice.htm
980,Buyers Picks,375 Hartz Avenue,,Danville,CA,94526,925-837-3325,,Charles Vaughan,
985,Luichiny,3630 Corporate Trail Drive,,Earth City,MO,63045,314-373-1300,,Joel Watson,http://www.luichiny.com/contact/
